date,price_mean,price_min,price_max,price_std,observations
2004-01-04,9.836729677027026,4.9899998,22.0,2.48884677620023,370
2004-01-05,9.82649071530343,4.9899998,22.0,2.4936357594965197,379
2004-01-06,9.789894412401056,4.9899998,22.0,2.436329788941385,379
2004-01-07,9.843740004509284,4.9899998,22.0,2.5357827935688455,377
2004-01-08,9.875618228225807,4.9899998,22.0,2.5367975525133146,372
2004-01-09,9.887889132189974,4.9499998,22.0,2.532738218742099,379
2004-01-10,9.889366702638522,4.8899999,22.0,2.55830833948505,379
2004-01-11,9.866037177925532,4.8899999,22.0,2.5307418877841616,376
2004-01-12,9.969444394444444,4.8899999,22.0,2.537646543204873,378
2005-01-01,9.956106611466668,4.8899999,22.0,2.5476099539007797,375
2005-01-02,9.947651881767955,4.9499998,22.0,2.383961268727009,362
2005-01-03,10.058882634078213,4.9499998,22.0,2.435191472547529,358
2005-01-04,10.034187274655647,4.9499998,22.0,2.429308226366992,363
2005-01-05,9.812811540289855,5.9899998,14.0,1.9297659358807036,345
2005-01-06,10.121142808051948,4.9899998,22.0,2.43273079422958,385
2005-01-07,10.085235545549738,4.9899998,22.0,2.419102674199715,382
2005-01-08,10.087598893139841,4.9899998,17.950001,2.32897189416703,379
2005-01-09,10.122399952,4.9899998,17.950001,2.3549555974176197,375
2005-01-10,10.15700268065395,4.9899998,17.950001,2.405727563247503,367
2005-01-11,10.152213286666667,5.0999999,17.950001,2.330776267637652,375
2005-01-12,10.126541505898123,5.0999999,17.950001,2.353309902686896,373
2006-01-01,10.19768151452514,5.0999999,18.4,2.4509589093464497,358
2006-01-02,11.651885942105263,6.0,25.5,2.7800869723383177,228
2006-01-03,11.627678554910714,6.0,25.5,2.7623711804455087,224
2006-01-04,11.92580643548387,6.0,25.950001,2.772654103296784,341
2006-01-05,11.960616236134452,6.0,25.950001,2.777042039179773,357
2006-01-06,11.946270255675675,6.0,25.0,2.733828715881754,370
2006-01-07,11.918780468292685,6.0,25.0,2.72295898298354,369
2006-01-08,11.978242879069768,6.0,25.0,2.7130282153029697,387
2006-01-09,12.003272704935066,6.0,25.0,2.784287474990767,385
2006-01-10,12.024595275718017,6.0,28.5,2.7697475544424908,383
2006-01-11,12.100384594358975,6.0,26.5,2.77325499180164,390
2006-01-12,12.157696185822784,6.0,25.0,2.6929032025010424,395
2007-01-01,12.111154836745406,6.0,25.0,2.693480626756194,381
2007-01-02,12.05489846218274,6.0,21.0,2.5329676423702896,394
2007-01-03,12.120102029846938,6.0,25.0,2.759586465399017,392
2007-01-04,12.269543136294416,6.0,25.0,2.738163446125181,394
2007-01-05,12.293743707788945,6.0,25.0,2.76212447787447,398
2007-01-06,12.26145407882653,6.0,25.0,2.755619697584429,392
2007-01-07,12.287813265110566,6.0,25.0,2.659476267302216,407
2007-01-08,12.296626503855421,6.0,25.0,2.6189935251050094,415
2007-01-09,12.352451456067962,6.9000001,25.0,2.610665824618078,412
2007-01-10,12.3931941014742,6.9000001,25.0,2.6336563506531734,407
2007-01-11,12.357796615254237,6.9000001,25.0,2.626532860346858,413
2007-01-12,12.380793274278846,6.9000001,25.0,2.7144174610987295,416
2008-01-01,12.368819279518071,6.9000001,25.0,2.6230234132116355,415
2008-01-02,12.470855751100245,6.9000001,40.5,2.9389869794623342,409
2008-01-03,12.454545457894737,6.9000001,36.0,2.778868397447942,418
2008-01-04,12.581933176133651,6.9499998,38.0,2.90534536733455,419
2008-01-05,12.69126794784689,6.9499998,38.0,2.955693834586902,418
2008-01-06,12.739565219323671,6.9499998,38.0,2.920611916137166,414
2008-01-07,12.692617924292453,6.9499998,38.0,2.9444262114360664,424
2008-01-08,12.711518688317756,5.3899999,38.0,2.9877329382119564,428
2008-01-09,12.694070585411763,5.6900001,38.0,3.010068004404071,425
2008-01-10,12.696766737182449,5.6900001,38.0,2.9784862741435623,433
2008-01-11,12.752655886374132,4.9899998,38.0,3.0067289397706474,433
2008-01-12,12.761532821411192,4.9899998,38.5,3.013323099303539,411
2009-01-01,12.802311296226415,5.9899998,38.5,3.092126974728463,424
2009-01-02,12.91302664164649,7.25,38.5,3.0584357628885575,413
2009-01-03,12.922771369053118,4.9899998,38.5,3.0657175624593567,433
2009-01-04,12.881392113457077,4.9899998,39.0,3.0426654941597575,431
2009-01-05,12.892933026096998,4.9499998,39.0,3.12061608613973,433
2009-01-06,13.117894747129187,4.9899998,39.0,3.218165965536505,418
2009-01-07,13.201149155256724,4.9899998,39.0,3.274698890102406,409
2009-01-08,13.190141517216981,4.9899998,39.0,3.268470402145832,424
2009-01-09,13.252112691549295,4.9899998,39.0,3.2092579016485057,426
2009-01-10,13.273208421545668,4.9899998,39.0,3.271644311430431,427
2009-01-11,13.291441849767443,4.9899998,39.0,3.251828482858502,430
2009-01-12,13.340211757176471,4.9899998,39.0,3.1925595999071157,425
2010-01-01,13.396753599526066,4.9899998,39.0,3.1967452642249383,422
2010-01-02,13.564773298568019,4.9899998,39.0,3.342768320277492,419
2010-01-03,13.633264381379309,4.9899998,39.0,3.4061136151387656,435
2010-01-04,13.634269156612529,4.9899998,39.0,3.4180434010785397,431
2010-01-05,13.630249459183673,4.9899998,39.0,3.449996599882664,441
2010-01-06,13.637437668480725,4.9899998,35.0,3.327824024484471,441
2010-01-07,13.637803232723112,4.9899998,39.0,3.441893853066101,437
2010-01-08,13.676864999313501,5.9899998,45.0,3.5631758867778327,437
2010-01-09,13.638136378409092,4.9899998,35.0,3.2986095137983624,440
2010-01-10,13.653256892201833,4.9899998,39.0,3.3445770017846734,436
2010-01-11,13.75665152118451,4.9899998,39.0,3.67271173222806,439
2010-01-12,13.85787189702517,4.9899998,39.0,3.637550273621158,437
2011-01-01,14.01985990186916,4.9899998,39.0,3.7033516344865927,428
2011-01-02,14.277597179126214,4.9899998,44.5,3.959928164845947,412
2011-01-03,14.266494187764705,4.9899998,44.5,3.7996716278801927,425
2011-01-04,14.310990637500002,6.9000001,44.5,3.6651801139362967,424
2011-01-05,14.318782237236533,6.9000001,44.5,3.6381128786382813,427
2011-01-06,14.315185223842592,6.9000001,44.5,3.6681694345530795,432
2011-01-07,14.276463742154567,6.9000001,39.0,3.3394295626276036,427
2011-01-08,14.335734306993007,6.9000001,39.0,3.4468438017506267,429
2011-01-09,14.377400511241218,7.0999999,39.0,3.448545963528783,427
2011-01-10,14.39296987262181,7.0999999,39.0,3.4356924341688724,431
2011-01-11,14.509127397877357,7.0999999,39.0,3.4933786247976992,424
2011-01-12,14.56623558591224,7.0999999,39.0,3.5112544610390057,433
2012-01-01,14.552522982798166,7.0999999,39.0,3.501683643538295,436
2012-01-02,14.671007070725995,7.1999998,39.0,3.567216912944986,427
2012-01-03,14.698993185354691,7.1999998,39.0,3.5467101527272034,437
2012-01-04,14.793090991363636,7.5900002,39.0,3.4832140039183925,440
2012-01-05,14.891377058239279,7.5900002,39.0,3.484707709121203,443
2012-01-06,14.944638122624434,7.5900002,39.0,3.4870819610374584,442
2012-01-07,15.034741692134832,7.5900002,39.0,3.537099673295213,445
2012-01-08,15.099546619501135,7.5900002,39.0,3.5597250061853005,441
2012-01-09,15.072262570588235,7.5900002,39.0,3.625166241178134,442
2012-01-10,15.04447976312217,7.5900002,39.0,3.6038845092915297,442
2012-01-11,15.10682553015873,7.6900001,39.0,3.6401558334122006,441
2012-01-12,15.09158632,7.6900001,39.0,3.639200803141182,435
2013-01-01,15.04524373549884,7.6900001,39.0,3.611298658233898,431
2013-01-02,15.14832166572104,7.6900001,34.75,3.423938862632538,423
2013-01-03,15.226169875229358,7.6900001,34.75,3.507305086200738,436
2013-01-04,15.41979652556561,8.0900002,34.75,3.4096316591430402,442
2013-01-05,15.479506888116592,8.0900002,34.25,3.4311066495467757,446
2013-01-06,15.432666830888888,7.9499998,34.25,3.3272733547874753,450
2013-01-07,15.438725004697988,7.9499998,27.5,3.2706989902939725,447
2013-01-08,15.505743446621622,7.9499998,27.5,3.2744302341137224,444
2013-01-09,15.700986745067263,7.9499998,27.5,3.1853071546251126,446
2013-01-10,15.812988960674158,7.9499998,27.5,3.1295333865079167,445
2013-01-11,15.814223907077626,7.9499998,27.5,3.0350024048655437,438
2013-01-12,15.907181990227272,7.9499998,27.950001,3.027660013182516,440
2014-01-01,15.938912214583333,7.9499998,27.950001,3.0136650997249457,432
2014-01-02,16.108822361662817,7.9499998,28.68,3.132814061640069,433
2014-01-03,16.120434996338673,7.9499998,28.68,3.1454370262079387,437
2014-01-04,16.213064734562213,8.4899998,32.0,3.1900815142178947,434
2014-01-05,16.22094056376147,8.4899998,32.0,3.2114062482747436,436
2014-01-06,16.256494581573033,8.4899998,32.0,3.1809531100532262,445
2014-01-07,16.32299792173913,7.9899998,29.690001,3.112236306256374,437
2014-01-08,16.30131243167421,7.9899998,29.690001,3.0907971714658533,442
2014-01-09,16.316000217528092,7.9899998,29.690001,3.161146964861972,445
2014-01-10,16.37648423652968,7.9899998,30.370001,3.1442967002895705,438
2014-01-11,16.452414835535308,8.6899996,30.370001,3.098682536188206,439
2014-01-12,16.515814732126696,5.9499998,31.1,3.190734512147003,442
2015-01-01,16.508954810909092,8.6899996,31.1,3.106875583510721,440
2015-01-02,16.562036887414187,8.6899996,31.1,3.1658247023580373,437
2015-01-03,16.583355977181206,8.6899996,31.1,3.181323708642287,447
2015-01-04,16.634270200884956,8.6899996,31.1,3.163798365986077,452
2015-01-05,16.70359230554324,8.6899996,31.1,3.244470073343898,451
2015-01-06,16.83219268232662,8.5900002,31.1,3.272200729058044,447
2015-01-07,16.79907107522124,8.5900002,31.1,3.2908132914853065,452
2015-01-08,16.845790930957683,8.5900002,31.1,3.3180246555967954,449
2015-01-09,16.82450254524887,8.5900002,31.1,3.2627920345088075,442
2015-01-10,16.857561772483223,8.8900003,31.950001,3.285696089162951,447
2015-01-11,16.887351861872144,8.8900003,31.950001,3.2688418618649164,438
2015-01-12,16.921441679504504,9.3900003,31.950001,3.203879464785353,444
2016-01-01,16.956979650800914,9.6000004,34.990002,3.27874330284534,437
2016-01-02,16.967553204705883,8.0,34.990002,3.3138274358927005,425
2016-01-03,17.071705345622117,9.79,34.990002,3.2125946701158408,434
2016-01-04,17.14991039505618,9.79,31.950001,3.2664746179828428,445
2016-01-05,17.210314185201796,9.9499998,31.950001,3.2208432927447683,446
2016-01-06,17.194089150222222,9.9499998,31.950001,3.2320338712277707,450
2016-01-07,17.266516091855202,9.9499998,31.950001,3.234646910454817,442
2016-01-08,17.27813236810934,9.9499998,31.950001,3.281238161857197,439
2016-01-09,17.289657779908676,9.9499998,31.950001,3.218406879123263,438
2016-01-10,17.521396143249426,9.9499998,67.0,4.051222996086498,437
2016-01-11,17.375297060730592,9.9499998,32.0,3.3049412749200218,438
2016-01-12,17.525236212584268,9.9499998,32.0,3.3681278500176792,445
2017-01-01,17.58754569,9.9499998,32.0,3.4341991734936625,440
2017-01-02,17.703649514691943,9.1499996,32.950001,3.378152251625734,422
2017-01-03,17.702877278886312,9.1499996,34.0,3.4353864048837552,431
2017-01-04,17.798291819134395,9.9499998,36.0,3.5880538449843256,439
2017-01-05,17.933458378854624,10.49,36.0,3.635562858404127,454
2017-01-06,18.055391731096197,9.9899998,36.0,3.6777664283513003,447
2017-01-07,18.081432002237136,10.49,36.0,3.6939551145991714,447
2017-01-08,18.113085822072073,10.49,36.0,3.7220070118853097,444
2017-01-09,18.199115285398232,10.49,36.0,3.6870779004057024,452
2017-01-10,18.311126061810153,10.49,36.0,3.66938296866495,453
2017-01-11,18.357367530973452,10.95,36.0,3.718210545961388,452
2017-01-12,18.201400275555557,10.95,36.0,3.4301681787040033,450
2018-01-01,18.25766995475113,10.95,36.0,3.4723584223771913,442
2018-01-02,18.420414101149426,10.9,36.0,3.6790079731139573,435
2018-01-03,18.489414727027025,9.9499998,36.0,3.66272209487128,444
2018-01-04,18.596734072930648,9.9499998,36.0,3.696219560528685,447
2018-01-05,18.758911401333332,9.9499998,40.0,3.7800396294928795,450
2018-01-06,18.693002551693002,8.9499998,40.0,3.8343571515183754,443
2018-01-07,18.684655094877506,9.9499998,40.0,3.7861154228427516,449
2018-01-08,18.71140908221709,9.9499998,40.0,3.8249085068351696,433
2018-01-09,18.581685688988763,9.9499998,40.0,3.6736340355268107,445
2018-01-10,18.723648954054056,9.9499998,40.0,3.7888395363176017,444
2018-01-11,18.66833743189066,9.9499998,40.0,3.8101340900270166,439
2018-01-12,18.86288317927928,9.9499998,40.0,4.002579734070511,444
2019-01-01,18.901906128699554,9.4899998,48.0,4.258080564134706,446
2019-01-02,18.953832045794393,9.9499998,40.0,4.147695587026259,428
2019-01-03,19.001510563844395,8.6899996,40.0,4.193178392489272,437
2019-01-04,19.067936053669726,8.6899996,40.0,4.218823425195856,436
2019-01-05,19.019189436936937,8.6899996,40.0,4.06846781355008,444
2019-01-06,19.017156208715594,8.6899996,37.0,3.9720781964786056,436
